stock_id,episode_start_date,dataset,entry_close,path_outcome,winner_hit_date,loser_hit_date,day10_outcome,future_return_10d
1776,2026-06-25,A,19.95,NO_BARRIER_HIT,,,NEUTRAL,-2.0050125313283096
2103,2026-06-25,A,21.45,HIT_LOSER_FIRST,,2026-06-26,NEUTRAL,7.459207459207473
2107,2026-06-25,A,25.9,NO_BARRIER_HIT,,,NEUTRAL,-1.1583011583011449
2458,2026-06-25,A,180.0,NO_BARRIER_HIT,,,NEUTRAL,1.9444444444444375
3591,2026-06-25,A,27.25,HIT_LOSER_FIRST,,2026-07-01,LOSER,-6.238532110091743
4306,2026-06-25,A,15.9,NO_BARRIER_HIT,,,NEUTRAL,-2.515723270440251
4414,2026-06-25,A,8.6,NO_BARRIER_HIT,,,NEUTRAL,1.5116279069767424
5880,2026-06-25,A,25.1,NO_BARRIER_HIT,,,NEUTRAL,0.19920318725097363
6582,2026-06-25,A,32.9,NO_BARRIER_HIT,,,NEUTRAL,-0.3039513677811634
8464,2026-06-25,A,355.5,NO_BARRIER_HIT,,,NEUTRAL,1.2658227848101333
2516,2026-06-26,A,13.7,NO_BARRIER_HIT,,,NEUTRAL,0.0
2527,2026-06-26,A,40.35,HIT_WINNER_FIRST,2026-07-13,,WINNER,13.135068153655505
2633,2026-06-26,A,26.05,NO_BARRIER_HIT,,,NEUTRAL,1.5355086372360827
2706,2026-06-26,A,12.4,NO_BARRIER_HIT,,,NEUTRAL,1.2096774193548487
2739,2026-06-26,A,37.5,HIT_LOSER_FIRST,,2026-07-09,LOSER,-9.200000000000008
3717,2026-06-26,A,23.6,HIT_WINNER_FIRST,2026-06-30,,NEUTRAL,7.627118644067776
6168,2026-06-26,A,30.25,HIT_LOSER_FIRST,,2026-07-07,LOSER,-6.280991735537189
6177,2026-06-26,A,45.65,NO_BARRIER_HIT,,,NEUTRAL,0.9857612267250904
6743,2026-06-26,A,31.15,NO_BARRIER_HIT,,,NEUTRAL,-2.568218298555369
7631,2026-06-26,A,164.0,HIT_LOSER_FIRST,,2026-07-01,LOSER,-11.585365853658535
8033,2026-06-26,A,140.5,HIT_WINNER_FIRST,2026-06-30,,WINNER,77.58007117437722
9914,2026-06-26,A,73.6,NO_BARRIER_HIT,,,NEUTRAL,2.44565217391306
9921,2026-06-26,A,76.5,NO_BARRIER_HIT,,,NEUTRAL,4.444444444444451
00638R,2026-06-29,A,6.62,NO_BARRIER_HIT,,,NEUTRAL,1.3595166163141936
00656R,2026-06-29,A,5.82,NO_BARRIER_HIT,,,NEUTRAL,1.7182130584192379
00671R,2026-06-29,A,2.46,NO_BARRIER_HIT,,,NEUTRAL,-0.40650406504064707
